,Job name,Company,Location and Full/Part
121,Junior Integration Consultant - Lisbon/Remote,NEX T Engineering,"Lisboa   
 Full-time"
122,Banking Services Transversal Project Manager,Findmore,Lisboa
123,.NET Core Backend Developer,KWAN,"Lisboa   
 Full-time"
124,Functional Consultant,"Noesis Portugal - Consultadoria em Sistemas de Informação, SA","Lisboa   
 Full-time"
125,C#. NET Developer – Área da saúde,Aubay,"Lisboa   
 Full-time"
126,Junior React Developer,Arquiconsult,
127,Gestor de Projeto - Projetos de IT,"Noesis Portugal - Consultadoria em Sistemas de Informação, SA","Lisboa   
 Full-time"
128,Tester Funcional,Bee Engineering,Lisboa
129,Project Manager,Alencastre Group,"Lisboa   
 Full-time"
130,(AL) Javascript Developer,Michael Page Portugal,"Lisboa   
 Full-time"
131,React Developer,akapeople,"Lisboa   
 Full-time"
132,SEO Engineer,Psicotec Portugal,"Lisboa   
 Full-time   
 Remoto"
133,Microsoft Project,Amaris,"Lisboa   
 Full-time"
134,PMP® – Preparação para Exame de Cer...,Novabase,"Lisboa   
 Full-time"
135,Excel – Funções,Arquiconsult,Full-time
136,Academia Auditor de Segurança,Altran,"Lisboa, Porto   
 Full-time"
137,Administrador Microsoft 365,Dixtior Consulting,"Lisboa   
 Full-time"
138,Microsoft Dynamics CRM Consultant,Integer Consulting,"Lisboa, Porto   
 Remoto"
139,Senior Project Manager,NEX T Engineering,"Lisboa   
 Full-time"
140,Tech Lead .NET,Findmore,Lisboa
141,Front-End Developer,KWAN,"Lisboa   
 Full-time"
142,SAS Expert,"Noesis Portugal - Consultadoria em Sistemas de Informação, SA","Lisboa   
 Full-time"
143,Lead Javascript Developer,Aubay,"Lisboa   
 Full-time"
144,Junior Integration Consultant - Lisbon/Remote,Arquiconsult,
145,Banking Services Transversal Project Manager,"Noesis Portugal - Consultadoria em Sistemas de Informação, SA","Lisboa   
 Full-time"
146,.NET Core Backend Developer,Bee Engineering,Lisboa
147,Functional Consultant,Alencastre Group,"Lisboa   
 Full-time"
148,C#. NET Developer – Área da saúde,Michael Page Portugal,"Lisboa   
 Full-time"
149,Junior React Developer,akapeople,"Lisboa   
 Full-time"
150,Gestor de Projeto - Projetos de IT,Psicotec Portugal,"Lisboa   
 Full-time   
 Remoto"
151,Tester Funcional,Amaris,"Lisboa   
 Full-time"
152,Project Manager,Novabase,"Lisboa   
 Full-time"
153,(AL) Javascript Developer,Arquiconsult,Full-time
154,React Developer,Altran,"Lisboa, Porto   
 Full-time"
155,SEO Engineer,Dixtior Consulting,"Lisboa   
 Full-time"
156,Microsoft Project,Integer Consulting,"Lisboa, Porto   
 Remoto"
157,PMP® – Preparação para Exame de Cer...,NEX T Engineering,"Lisboa   
 Full-time"
158,Excel – Funções,Findmore,Lisboa
159,Academia Auditor de Segurança,KWAN,"Lisboa   
 Full-time"
160,Administrador Microsoft 365,"Noesis Portugal - Consultadoria em Sistemas de Informação, SA","Lisboa   
 Full-time"
161,Microsoft Dynamics CRM Consultant,Aubay,"Lisboa   
 Full-time"
